"","Label","Marker"
"478","Enteric glia-10","Gm6650, Eif4e1b, Cox20-ps, Olfr707, Gm7145, Gm4922, Gm13180, Gm11650, 4921509C19Rik, 4930469B13Rik"
"479","Enteric glia-11","Gm11511, Akt2-ps, Isl2, 1700022A22Rik, Rpl18-ps1, Zfp13, Foxd3, Dhh, Gm12098, G6b"
"480","Enteric neurons-0","Vip, Kcnq3, Syt6, Lrrfip1, Adrbk2, Kcnq5, Celf3, Erc2, Nav3, Cadm3"
"481","Enteric neurons-1","Fam155a, Kcnd2, Pde10a, Cadm1, Klhl29, Hs6st3, Slit2, Arpp21, Cntnap5a, Camk4"
"482","Enteric neurons-2","Fgf13, Fam19a1, Zfp804a, Dgki, Dgkg, Abca9, Tmeff2, Ntrk3, Ano2, Akap12"
"483","Enteric neurons-3","Lrrtm4, Grik1, Grm7, Kcnc2, Rarb, Gm11342, Rnf150, Grid1, Slc44a5, Fbxw24"
"484","Enteric neurons-4","Nos1, Tmc3, Plxnb1, Oprd1, Rab37, Nap1l5, Rnf144b, Cnga3, Vamp1, Mdga1"
"485","Enteric neurons-5","6530403H02Rik, Col12a1, Tac1, Gli2, Oprm1, Cacng4, Apc2, Tmem200a, Abca2, Angptl2"
"486","Enteric neurons-6","Gal, Scg2, Slc5a7, Wscd2, Schip1, Tuba1a, Ptprn, Ywhag, Hoxa5, Clip3"
"487","Enteric neurons-7","Gfra2, 1810041L15Rik, Eml6, Ptprn2, Tshz2, Ssbp2, Plod2, Nrg1, Adamts1, Grik4"
"488","Enteric neurons-8","Lingo2, Cdh8, Nrxn3, Sgcd, Igf1r, Plxna4, RP23-275B16.1, Pclo, Rbms3, Pdzrn4"
"489","Enteric neurons-9","Pcdh9, Mgat4c, Ctnna2, Alk, Gabrg3, Klhl1, Nlgn1, Khdrbs2, Nrp2, Gucy1a2"
"490","Enteric neurons-10","Sgcz, Auts2, Cpne4, Cacna2d1, Ptprt, Plcl1, Ano5, B3galt1, Gpc6, Pcdh11x"
"491","Enteric neurons-11","Syn3, March1, Serpini1, Nxph2, Csmd3, Slc35f4, Sez6l, Slc17a6, 6430573F11Rik, Vstm2a"
"492","Enteric neurons-12","D030055H07Rik, Egfem1, Gm16070, Etv1, 9630041A04Rik, Syt10, Taar3, Gm12023, Pdyn, Gm26638"
"493","Enteric neurons-13","Olfr1528-ps1, Gm6004, Rpl31-ps20, Gm13537, Gm3669, Gm4980, Nkx2-6, Xlr3c, Wdr20rt, Olfr716"
"494","Enteroendocrine cells-0","Stxbp5l, Kcnmb2, Tph1, Gpr112, 1810006J02Rik, Gm15665, Adora3.1, Lhx5, Pax4, Insm1"
"495","Enteroendocrine cells-1","Gstt1, Trpa1, C230038L03Rik, Tpbg, Adora3.1, Pax4, Adora3, Rimkla, Olfr78, Slc38a11"
"496","Enteroendocrine cells-2","Cyp4x1, Gm16011, Onecut3, C230014O12Rik, Nkx2-2, Ppy, Pyy, Cck, Avpr1b, Sstr5"
"497","Enteroendocrine cells-3","Fstl4, Adora3, Gpr119, Tph1, Lmx1a, Baiap3, Tpbg, Gm11992, Gm15716, Cryba2"
"498","Enteroendocrine cells-4","Tmem108, Abcc8, Pyy, Neurod1, Cerkl, Slc6a7, Tpbg, Sstr5, Ms4a5, Sct"
"499","Enteroendocrine cells-5","Nts, Gpr133, Kcnh6, Cerkl, Onecut3, Tpbg, C230038L03Rik, Neurod1, Sstr5, RP23-431C3.3"
"500","Enteroendocrine cells-6","Gas2l3, Rap2b, Zfand2a, Cck, Daf2, Zfp703, Ston2, Krt12, Mien1, Fev"
"501","Enteroendocrine cells-7","Sct, Insl5, Nxpe4, Gm17641, Pcsk2os2, RP23-431C3.3, Engase, Pgls, Avpr1b, Tmprss7"
"502","Enteroendocrine cells-8","Runx1t1, Nkx2-2, Pnpt1, Pdss1, Gm5665, Kif18a, Rnf186, Rbm4, Hist1h2be, Vrk3"
"503","Enteroendocrine cells-9","Pax6, Neurog3, Iapp, Pax4, Tex36, Avpr1b, Mboat4, Arx, Kcnk16, Irs4"
"504","Enteroendocrine cells-10","Vwa5b2, Neurog3, Tex36, Mboat4, Pax4, Iapp, RP23-44D10.1, Avpr1b, Irs4, Kcnk16"
"505","Enteroendocrine cells-11","5430405H02Rik, 2010016I18Rik, Gm29216, Gm12603, Lmx1a, Gm16984, Dalrd3, C87977, 2010308F09Rik, Rab30"
"506","Enteroendocrine cells-12","Olfr78, Pax6os1, RP23-431C3.3, 1810006J02Rik, Cryba2, Pax4, Syt13, Pax6, Tpbg, Gm15716"
"507","Enteroendocrine cells-13","Gip, Zg16, Adcy2, Rfx6, Asic5, Mctp2, Gcg, Marcksl1, Pisd-ps1, Defb37"
"508","Enteroendocrine cells-14","Gpr112, Pax4, Ffar1, Pax6, Irs4, Sstr5, Lmx1a, Cerkl, Cck, RP23-117E23.1"
"509","Enteroendocrine cells-15","Slc11a2, Slc40a1, Afp, Ces2g, Pdx1, Otop3, Lhx5, Gm15816, Nkx6-3, 4632428C04Rik"
"510","Enteroendocrine cells-16","Myt1, Lmx1a, Slc38a11, 1810006J02Rik, Pax4, Mboat4, Insm1, Mnx1, Gm13198, Kcnk16"
"511","Enteroendocrine cells-17","Pappa2, Erich5, Irs4, RP23-117E23.1, Gm13312, 4930544M13Rik, Hypm, Avpr1b, Gm27199, Lhx5"
"512","Enteroendocrine cells-18","Chgb, Chga, Irs4, 4930428N03Rik, Kcnk16, RP23-117E23.1, Arx, Slc29a4, Lhfpl5, Lhx5"
"513","Enteroendocrine cells-19","mt-Tp, mt-Tq, mt-Ta, mt-Tn, mt-Ty, Avpr1b, mt-Tc, Gm12108, Irs4, Mboat4"
"514","Ependymal cells_1","Olfr512, RP24-400J22.2, Gm28500, Gm10714, Tas2r113, 4930519F16Rik, RP23-300L15.1, Gm19200, Olfr510, Tas2r125"
"515","Ependymal cells_2","Tas2r116, Tas2r113, Olfr510, Vmn2r44, Gm24533, Gm18180, Fancd2os, Olfr1512, Sox1, Gm10714"
"516","Ependymal cells_3","Tas2r116, Gm3665, Gm3654, Olfr1513, RP24-400J22.2, RP23-300L15.1, Olfr1511, Gm18849, Gm24533, Serpinb6e"
"517","Ependymal cells_4","Gpr50, 6330403K07Rik, Rax, Olfr1511, Olfr1510, Nkx2-4, Olfr1512, Prtg, Six3os1, B230119M05Rik"
"518","Ependymal cells_5","Sspo, Gm15227, Ferd3l, Gm11882, Olfr636-ps1, Gm12455, Gm13898, Gm5270, Olfr434, Ldlrad2"
"519","Ependymal cells_6","Vmn2r41, RP24-130G2.1, Gm7405, Vmn2r-ps43, Gm7857, Vmn2r31, Tas2r123, Tas2r110, Vmn2r-ps51, RP24-553E23.5"
"520","Ependymal cells_7","Gm10064, 4930511A02Rik, A230052G05Rik, Gm20609, Gm28688, Gm13992, Gm17235, Gm29508, Rdh8, Gm12326"
"521","Epididymal cells-0","Chrna2, 2310003H01Rik, RP23-34O23.1, Gm28286, Gm2709, Defb13, Gm5786, Defb43, RP23-480H8.1, Gm11934"
"522","Epididymal cells-1","Gm10762, Rpl21-ps6, Gm16329, Mrpl38, Wbp2nl, Gm15533, Gm10602, Gm11653, Cenpt, Gm15995"
"523","Epididymal cells-2","Bri3, Pgap2, Gm26861, Hoxb3, Gm15218, 1700066J03Rik, Zkscan16, A330033J07Rik, Gm13713, Gm12279"
"524","Epididymal cells-3","Rnase11, AU022751, Gm13613, RP24-422L17.2, Tmem211, Gm16253, RP24-490B17.3, RP23-264F2.3, RP23-399N18.3, Kbtbd8os"
"525","Epididymal cells-4","Neu3, Gm28497, Gm6938, Dlk2, Gm12406, Olfr753-ps1, Gfra4, 4930412O13Rik, Edaradd, Kank4os"
"526","Epididymal cells-5","Fat2, Ivl, Upk1b, Gm12498, Akr1b3, 9530034E10Rik, RP24-539E18.5, Serpinb5, 9530036O11Rik, C030014I23Rik"
"527","Epididymal cells-6","Ldhd, Myo3b, Abcb5, Wfdc8, Spink13, Cpne5, Atg4a, 9230109A22Rik, Rab11fip2, Slc29a3"
"528","Epididymal cells-7","Gm4846, Adam28, Lcn8, Gm1110, Lcn9, Ovch2, Cst11, Teddm1a, Lcn10, Defb25"
"529","Epididymal cells-8","Slc14a2, Fdx1, Acad8, Gm12536, Ccdc130, Ccdc169, Tmem116, Gm12689, RP23-304O9.1, Gm22079"
"530","Epididymal cells-9","Akr1b7, Crisp1, Pax2, 1700112E06Rik, Plcb1, Rgs6, Ptgs2, Fam129a, Abcg2, Slco2a1"
"531","Epididymal cells-10","Csf3, Eddm3b, Gata2, Il11, Zfp202, 1700066J03Rik, 4932442L08Rik, RP24-252G15.5, Gm10269, Gm12833"
"532","Epididymal cells-11","Frmpd4, Adam7, Ces5a, Mum1l1, Gm17252, Ap3b2, Acot9, Gm5724, Odam, Mboat2"
"533","Epididymal cells-12","Acer3, Pola1, Tmem51os1, RP23-240E15.2, 9530056K15Rik, Akr1b10, Akap17b, G6pc3, Sphk1, C230012O17Rik"
"534","Epididymal cells-13","Mpp7, Gdi1, Gm15704, Tk2, Hoxb7, Crygd, Prickle1, 1700025H01Rik, 1700047F07Rik, Lyplal1"
"535","Epididymal cells-14","Stk32b, Slc28a3, 9230102O04Rik, Gm26688, Hes1, RP23-284A15.2, Gm15880, Cep97, Hoxd3, RP24-111C16.1"
"536","Epididymal cells-15","5430419D17Rik, Bmpr1b, Ncoa4, Fam115e, 9530053A07Rik, Msmb, Tgm4, Pbsn, Gm20711, Defb50"
"537","Epididymal cells-16","Wdr25, Gm24788, Gm25915, Gm21256, Gm24922, Ears2, RP24-429M15.4, Gm13256, RP23-191P7.2, 1110019D14Rik"
"538","Epididymal cells-17","Ckap2, Scarna2, Trim7, Spats2, Gm26665, AU021092, Cntd1, 2700099C18Rik, Vangl1, Diap3"
"539","Epididymal cells-18","Pate4, Svs2, Svs4, Dnase2b, Svs1, Svs6, Svs5, Svs3a, Spinkl, Acrv1"
"540","Epididymal cells-19","Stap1, Gpr110, 4930469K13Rik, Mcf2, Gm6884, Gpm6b, Slco1a5, Rorb, Gm29517, Susd1"
"541","Erythroblasts-0","Slc38a9, RP23-413K6.4, Gen1, Steap3, Tspan33, Rps18, Gypc, E2f1, Gata1, Fam109b"
"542","Erythroblasts-1","Rhag, Gypa, Rhd, Lmo2, Wdhd1, Alas2, Cdc25c, Epb4.2, Alkbh8, Fn3k"
"543","Erythroblasts-2","Zdhhc14, Sptb, Prim2, Pvt1, Ammecr1, Ank1, Emilin2, Wrn, Kel, Zfp808"
"544","Erythroblasts-3","Hdgf, Vamp5, Pabpc4, Ypel4, A930006K02Rik, Lsm2, Trim58, Minpp1, Orc2, RP24-299B14.3"
"545","Erythroblasts-4","Specc1, Xpo7, Tmcc2, Btnl10, Slfn14, Cdc6, Armc9, Snca, Zgrf1, Acp1"
"546","Erythroblasts-5","Ngp, Trim58, Mmp8, Gm7251, Hrasls, Fgf2, Dusp13, Trim10, Cdkn3, Hemgn"
"547","Erythroblasts-6","Hbb-bs, Hba-a2, Hbb-bt, Recql4, Gm13172, H2-M10.3, Nhp2l1, RP23-250M11.10, RP24-346N5.1, Gm14247"
"548","Erythroblasts-7","Prdx2-rs3, Dtl, Hoxb2, Gm22345, Psma8, Gm11336, Olfr67, Gm9008, Gp9, Icam4"
"549","Fcgbp positive cells-0","Sema4c, Mlph, Muc15, Dusp4, Zfp853, Gm9885, Wfdc18, RP23-202C2.3, Tfap2c, Zc3h7b"
"550","Fcgbp positive cells-1","Wnt5b, Fbn2, Btn1a1, Muc15, Sox14, Alox12e, Wfdc18, Foxc1, Hhipl2, Olfr753-ps1"
"551","Fcgbp positive cells-2","Btn1a1, Sox14, Muc15, C530043A13Rik, Alox12e, Gm10561, Inhbb, Tfap2c, Wfdc18, Gm15821"
"552","Fcgbp positive cells-3","Trps1, Ctsj, Ptn, Stc2, Cyp3a57, BC006965, Gm13239, RP24-360M7.1, Gm4904, Ccdc70"
"553","Fcgbp positive cells-4","Gm4937, Gm23302, Olfr846, Gm16099, Ceacam12, RP23-167G19.11, Gm16184, Dppa5a, Olfr1274-ps, Gm12343"
"554","Fcgbp positive cells-5","C86695, Gm11292, Gm13474, AI429214, Gm11847, Rapgef3os1, Gm6245, Gm14292, 4930500J02Rik, Mir5123"
"555","Fibroblasts-0","A730049H05Rik, Scube2, Figf, Rhoj, Gyg, D630003M21Rik, Ms4a4d, Tcf21, Dnm3os, Prrx2"
"556","Fibroblasts-1","Tnn, Pear1, Alx1, D630003M21Rik, Ssu2, Ms4a4d, Tcf21, B3gnt9, Arsj, Gpr161"
"557","Fibroblasts-2","Aqp4, Fbln2, Fkbp10, Ssc5d, Maff, Hoxaas3, C1qtnf2, Atoh1, Medag, B3gnt6"
"558","Fibroblasts-3","Gm12963, Cebpd, Arsj, Mgp, Gpr153, Gli1, Mab21l2, Tmem119, Zfp788, Ms4a4d"
"559","Fibroblasts-4","Pi16, Gfpt2, B130024G19Rik, Cd34, Rad9b, Rcn3, Tcf21, Gli1, Map3k15, Slc7a6"
"560","Fibroblasts-5","Fhl5, Dchs1, Gm13470, C1qtnf2, Gpr153, Tmem119, Ms4a4d, Gm12963, Pcdh18, Gm11210"
"561","Fibroblasts-6","Tbx20, Loxl1, Gpr124, Dtx3, Ppp1r14a, Fgfr4, Tcf21, Ssc5d, Pcdh18, Srpx"
"562","Fibroblasts-7","Vstm4, Gsta2, Tcf21, Gm15536, Gm11476, Wnt2b, Ugt2b38, Rcn3, Scarf2, B3gat2"
"563","Fibroblasts-8","Fmnl2, Slc9a9, Fnbp1, Tbc1d9, Mmp10, Vav3, Csf1, Rpl18a, Spon2, Gm12153"
"564","Fibroblasts-9","Col6a1, Col6a2, Col6a4, Col6a3, Col4a1, Col3a1, Slc37a2, Col4a2, Pdgfra, Lamc1"
"565","Fibroblasts-10","Tnn, Alx1, Hoxd11, RP24-271M20.4, Gm9947, Fancl, RP23-59N15.2, Gli1, Ms4a4d, 2010310C07Rik"
"566","Fibroblasts-11","Slc5a3, Fstl1, Umod, Mrps6, Prdm5, Plau, Adamts10, 9130015L21Rik, Wfdc15b, Tcf21"
"567","Fibroblasts-12","Madcam1, Upk3bl, Tmem88, Rasip1, Tcf21, Ackr1, B130024G19Rik, C1ra, Ms4a4d, Dnm3os"
"568","Fibroblasts-13","Dcn, Kap, Napsa, Scel, Slc7a12, Lum, Mgp, Cd34, Meox1, Ceacam2"
"569","Fibroblasts-14","Adamts3, Fbxl4, Cxcl10, Fam171a1, Gli1, Ms4a4d, Ggt5, Dnm3os, Dact1, Mnda"
"570","Fibroblasts-15","Gpx3, Ccdc8, Gm11476, Dusp1, Tcf21, Nfatc4, Id3, Lrrn4cl, Nlrp3, Gli1"
"571","Fibroblasts-16","PCDHGB6.3, RP24-142E6.5, Fgfr4, Tcf21, Mfap4, Gm11476, Dnm3os, Gm13470, Ms4a4d, Gli1"
"572","Fibroblasts-17","Adamtsl2, Trpa1, P2ry1, 9130015L21Rik, RP24-89F9.4, Tcf21, Tmem119, Ikbip, Akr1b8, Hoxd11"
"573","Fibroblasts-18","Gm12153, Pcdhgb2, Gm12963, D630003M21Rik, Gm13470, Lrrc17, RP23-2M16.4, Islr, Tcf21, Spry2"
"574","Fibroblasts-19","Wnt9a, Ms4a4d, Gm12394, Mgp, Cd34, Gm12963, Gm13470, Efcc1, Tcf21, Zmynd15"
"575","Fibroblasts-20","4930467D21Rik, Arsj, Slc10a6, 2010310C07Rik, Tcf21, Arhgef40, Tmem119, RP23-65G17.2, Gli1, Kdelr3"
"576","Fibroblasts-21","Tmem119, Gm12153, Tcf21, Efcc1, Ms4a4d, Naalad2, A730049H05Rik, Ggt5, Arhgef40, Wnt2b"
"577","Fibroblasts-22","Pcdhgb2, Gm20467, Gm13470, Gm4221, Arsj, Ms4a4d, Fibin, Tcf21, Pkn3, Ppp1r14a"
"578","Fibroblasts-23","RP24-300C19.1, Alx1, Rasl12, A730049H05Rik, Ccdc8, Hoxa10, Gm28258, Tmem119, Spon2, Slc10a6"
"579","Fibroblasts-24","Dmbt1, Cyp2c55, Car1, Gm6086, Htr4, Gsdmc2, Acsl3, Satb2, 2610035D17Rik, Tgoln1"
"580","Fibroblasts-25","Ccl19, Msc, Cpxm1, Cyp1b1, Sertad4, Snhg18, Mdfi, Pla2g5, H2-Q7, Pi15"
"581","Fibroblasts-26","Acan, Sap30bpos, Fam101a, Fhl3, Foxd3, Lgi4, Col9a2, Cstad, Gm13403, Olfml2b"
"582","Fibroblasts-27","B130024G19Rik, Hsdl2, Tecrl, Gm28258, RP23-385N7.2, Mtl5, RP24-326O4.2, Mybphl, RP23-239I17.7, Tfpi"
"583","Fibro–adipogenic progenitors-0","Gm11747, Fam69c, Prrx2, A830012C17Rik, Ggt5, Gpr153, Shox2, Spry2, Prkcdbp, Gm10561"
"584","Fibro–adipogenic progenitors-1","Fndc1, Lmx1b, Rps12-ps9, Mrgprg, Fgf2, 8030423F21Rik, Arsi, Sfrp4, Efs, Prdm8"
"585","Fibro–adipogenic progenitors-2","Lpar4, Gm4294, Vax2os, Glt8d2, Gm9947, Egfros, Cd248, Mfap5, C1qtnf6, Lrrn4cl"
"586","Fibro–adipogenic progenitors-3","Islr, Tmem52, Ssc5d, Msx1, RP24-485J8.3, Hoxc10, Murc, Hrasls, Prdm8, Ccl11"
"587","Fibro–adipogenic progenitors-4","4833403I15Rik, Lrrn4cl, Meox2, RP23-293I7.4, 8430419K02Rik, Gm29007, Pycr1, C1qtnf2, A830012C17Rik, Frmd7"
"588","Fibro–adipogenic progenitors-5","Klhl13, Fam212a, Dnm3os, RP23-65G17.3, Gm25630, Gm4975, Gm15261, Fbln7, Gm14295, Arsi"
"589","Fibro–adipogenic progenitors-6","Medag, Gm10115, Zc3hav1l, Gdf10, Pcdhga6, Ikbip, 8430436N08Rik, Gm13380, A830012C17Rik, S100a4"
"590","Fibro–adipogenic progenitors-7","Lrrn4cl, Loxl1, Hhipl1, Slc10a6, Pcolce, Tmem159, Ccl11, Gm10855, Larp6, Gm12132"
"591","Fibro–adipogenic progenitors-8","Kcna10, Hoxc11, Ccl11, Gm11716, 4930563E22Rik, 0610038B21Rik, Gm24492, Angptl1, Prdm8, Entpd2"
"592","Fibro–adipogenic progenitors-9","Abca8a, Bcas3os1, RP23-411L6.1, 4933400C23Rik, Thbs2, Gm4975, C1ra, Lox, Sfrp2, RP24-485J8.3"
"593","Fibro–adipogenic progenitors-10","Scara5, Ifi205, Gm26535, Galnt16, Gm10647, 4833403I15Rik, Grasp, Pcdhgc4, RP23-82P18.3, RP24-571N3.1"
"594","Fibro–adipogenic progenitors-11","C1qtnf3, Timp1, Lrrc15, Mmp19, Mir6538, Medag, Klhl13, Fbln7, Gm12394, Angptl1"
"595","Fibro–adipogenic progenitors-12","Numbl, A830019P07Rik, Olfr198, Medag, Fam69c, Emilin3, 2810408M09Rik, Clec3b, Plac9a, Clec11a"
"596","Fibro–adipogenic progenitors-13","Nova1, Telo2, Fam69c, Plac9a, 4833403I15Rik, Itga11, Vasn, Has2os, Gpr173, RP23-440J24.4"
"597","Fibro–adipogenic progenitors-14","Prg4, Zfp385b, Scara3, Htra4, Cygb, Gfpt2, Fmod, Gm13198, Gm4117, Efcc1"
"598","Fibro–adipogenic progenitors-15","Itga11, Abca8a, Dact1, Gm13509, Pi16, Ackr2, Lrrc17, Srpx2, Has2os, 4833403I15Rik"
"599","Fibro–adipogenic progenitors-16","Medag, Mmp23, RP23-26I10.3, Mir7025, Mafa, Galnt16, Ccl11, Ube2c, 2810430I11Rik, Cd248"
"600","Fibro–adipogenic progenitors-17","Nova1, Abca8a, Gm4975, Cd248, Ccl11, Olfr747, Angptl1, Gm15867, Ggt5, Itga11"
"601","Fibro–adipogenic progenitors-18","Glt8d2, Dact1, Gm17057, Galnt16, Adamts16, Cd248, Evc2, Wnt10b, Ms4a4d, Gm6142"
"602","Fibro–adipogenic progenitors-19","Smim23, Gli1, Tbx18, Gm10860, 8430436N08Rik, Xkr7, Itm2a, Klrb1a, Gm12229, Zfp133-ps"
"603","Fibro–adipogenic progenitors-20","Has2os, Myoc, Lrrc17, A730020M07Rik, RP23-239I17.3, Gm17473, Gm10115, Crlf1, Nynrin, Gm4477"
"604","Fibro–adipogenic progenitors-21","Hhipl1, RP23-345J21.1, Gm14643, Hoxc5, Gm17976, Klhl13, Mir329, Gm9947, Efcc1, Pabpc4l"
"605","Fibro–adipogenic progenitors-22","Smoc2, Myoc, Gas1, Gm12481, Sertad4, Medag, Gli1, RP24-571N3.1, Prdm8, Cgrrf1"
"606","Fut9 positive cells-0","Meg3, Tenm2, Lsamp, Fgf14, Ank2, Syt1, Tmem132d, Unc5c, Elavl2, Pde4b"
"607","Gastric epithelial cells-0","Tfap2e, Skint1, Pinlyp, Chit1, Gm15230, Lhfpl1, Gm6169, Gm6938, RP23-320P13.1, Them5"
"608","Gastric epithelial cells-1","Pinlyp, Grhl3, 2310015K22Rik, Gsdmc, Pla2g4f, Gal3st4, Crabp2, Klk11, Gm9696, Them5"
"609","Gastric epithelial cells-2","Lypd5, Dsg1a, Serpinb3a, Sbsn, Ppl, Krt14, Dapl1, Klk5, Gm9750, Teddm3"
"610","Gastric epithelial cells-3","Aadacl2, Grhl3, Klk13, Tprg, Trnp1, 4833423E24Rik, Cyp4f39, Tmem45a, Spink14, Pitx1"
"611","Gastric epithelial cells-4","Foxn1, Them5, RP23-320P13.1, Mt4, Rp1l1, Chit1, Aknad1, Gm8206, 4631405K08Rik, Gpr87"
"612","Gastric epithelial cells-5","Cemip, Il1f5, Gpld1, Klk6, Defb4, Tmprss11a, AI481877, Elmod1, Il1rn, Lyg1"
"613","Gastric epithelial cells-6","Fat2, Gm14472, Clec2f, Tfap2e, Serpinb10, Aknad1, H60c, Gpr87, Klk11, Foxn1"
"614","Gastric epithelial cells-7","Gm6166, Mt4, Dapl1, Serpinb11, Foxn1, Them5, RP23-320P13.1, Gsdmc, Lgals7, Aldh3b2"
"615","Gastric epithelial cells-8","Ank, Gm94, Aim1, Aadacl3, Lce1b, Acpp, Lce1d, Lor, 2310050C09Rik, Ubl3"
"616","Gastric epithelial cells-9","Foxn1, Gsdmc, Rp1l1, Skint1, Pglyrp4, Gm12766, Skint8, H60c, C130079G13Rik, Them5"
"617","Gastric epithelial cells-10","Serpinb5, Sox15, Tmem150cos, Skint4, Skint1, Dlk2, H60c, A730085K08Rik, Ifi202b, 4731419I09Rik"
"618","Gastric epithelial cells-11","4932411K12Rik, Tmprss11b, Anxa1, Kcnk7, Ifi202b, Skint1, AF357399, Chit1, Gm4675, Gpr87"
"619","Gastric epithelial cells-12","Fam25c, Skint10, Bpifc, C130079G13Rik, RP24-221A14.5, RP23-320P13.1, Them5, Skint2, Gpr87, Lhfpl1"
"620","Gastric epithelial cells-13","Skint1, Gm29487, Them5, Gpr87, RP23-320P13.1, Foxn1, Dapl1, Skint4, Grip1os2, Esco2"
"621","Gastric epithelial cells-14","Skint10, Pinlyp, Chit1, C130079G13Rik, Skint1, Tprg, Gpr111, Gsdmc, Foxn1, Tmprss11e"
"622","Gastric epithelial cells-15","Krt23, Grhl3, Chit1, Gm9750, 2310057M21Rik, Skint1, RP23-320P13.1, Pinlyp, Lipk, Casp14"
"623","Gastric epithelial cells-16","Serpinb2, Pla2g4e, 9130409I23Rik, Aox4, Gm9750, 2310002F09Rik, Gm9696, Alox12b, H60c, Klk10"
"624","Gastric epithelial cells-17","Cers3, Otop2, Klk5, Gsdmc, Tmem45a, Serpinb13, Gm15188, Pla2g4f, Serpina12, Mt4"
"625","Gastric epithelial cells-18","Skint3, Dsc1, Serpinb11, Lelp1, RP24-221A14.5, Spink14, Sprr2i, Gm6166, Skint10, Aadacl2"
"626","Gastric epithelial cells-19","Lipm, Skint6, Cyp4f39, 4833423E24Rik, Slc10a6, Ide, Tprg, Dsc1, Klk13, Casp14"
"627","Gastric epithelial cells-20","Gm4761, Gm25014, Mt4, H60c, Foxn1, Them5, Gpr87, Clec2f, Ribc1, Chit1"
"628","Gastric epithelial cells-21","BC100530, Gsdmc, C130079G13Rik, Them5, Skint1, Skint8, Pinlyp, Mt4, Spink14, Gpr87"
"629","Gastric epithelial cells-22","Pla2g4f, H60c, Gm12766, Mt4, Skint4, Gm9696, Skint8, Gsdmc, Them5, Foxn1"
"630","Gastric epithelial cells-23","Foxn1, Mt4, Skint1, 1700041M05Rik, Teddm3, Them5, Aadacl2, Fam83c, Klk11, Chit1"
"631","Gastric mucous cells-0","Rps3a3, Lrrc8e, Gm27184, Fam83c, Gm14167, Scml2, Gm13420, Rap1gapos, Sdsl, Gm17025"
"632","Gastric mucous cells-1","2210011K15Rik, C2cd4a, Sfta2, Spef1, Gm12316, Fam83c, Gm12506, Cxcl17, Gm15816, Gm22043"
"633","Gastric mucous cells-2","Mnx1, Gm13227, Gm12298, Gm684, Gm17025, Zfp936, RP23-79K5.4, 4930404N11Rik, Gemin6, 4731419I09Rik"
"634","Gastric mucous cells-3","Rbbp8nl, Fam83c, Gstt3, Sfta2, Stx19, Rps27rt, Smim6, Ankle1, Gm26608, Tcf23"
"635","Gastric mucous cells-4","C2cd4a, RP23-339P23.1, Teddm3, Gm2568, Gm13650, Fam64a, 2210417A02Rik, Rap1gapos, Ddias, Sgol1"
"636","Gastric mucous cells-5","CH25-241D1.1, Klrg2, Fam101a, RP23-73N8.2, F630040K05Rik, Plk1, Gm10258, Slc7a4, Cxcl17, D930020B18Rik"
"637","Gastric mucous cells-6","Tmprss3, Nkx6-3, Mup18, Sf3b5, Nkx6-2, Gm15651, RP23-95I4.2, Sapcd2, Pdx1, Sox21"
"638","Gastric mucous cells-7","2810414N06Rik, Gm13509, Tstd1, Teddm3, Avpi1, Sfta2, Gm15137, 4930404N11Rik, Palm3, Mrpl34"
"639","Gastric mucous cells-8","Teddm3, Gm13680, Gm10076, Cited4, Gm13420, Trappc2l, Thap1, Rpl14-ps1, Ngrn, Gstt3"
"640","Gastric mucous cells-9","Vstm2b, 2210011K15Rik, Sox21, C2cd4a, Sfta2, Tcf23, Mrpl22, Stx19, RP23-25M19.2, Rpl38-ps2"
"641","Gastric mucous cells-10","Rptn, RP23-227A12.3, Krt78, Lce3b, Lce3f, Lce1j, Trex2, 2310014L17Rik, Lce1e, Klk9"
"642","Gastric mucous cells-11","Ippk, RP24-310B3.2, RP23-41F9.2, Rps27a-ps2, Sfta2, Gm12602, 4930404N11Rik, Tcf23, Nkx6-3, Lrr1"
"643","Gastric mucous cells-12","Gm27164, Gm2895, Slurp1, Gm13881, Cysrt1, Gm27167, Lman1l, Sfta2, Shh, Tcf23"
"644","Gastric mucous cells-13","Gm15595, Cym, Sox21, 1700001D01Rik, Gm16120, Runx2os1, Erich5, Apc-ps1, Dok1, Gm830"
"645","Gastric mucous cells-14","Chil4, A4gnt, Gm20539, Sprr2a2, Gm13420, Sox21, Teddm3, Trim6, Zfp213, CH25-241D1.1"
"646","Gastric mucous cells-15","RP24-144H23.4, Teddm3, Nkx6-3, Gm11240, Vstm2b, RP23-95I4.2, RP24-287C2.1, Itgb2l, Gm15816, CH25-241D1.1"
"647","Gastric mucous cells-16","Sfta2, 4930404N11Rik, Prima1, Nxnl2, BC107364, Gm28229, Skida1, Pla2g10, Tmem238, Prr7"
"648","Gastric mucous cells-17","Gm12114, Smim6, Sfta2, Nxnl2, Rpl38-ps2, Gm12918, Sox21, Sf3b5, RP24-327F2.1, Nop16"
"649","Gastric mucous cells-18","Glra4, Sox21, Gm4895, Gm9887, Nxnl2, Gm4189, RP23-334M9.3, Rtn4r, Rbbp8nl, Gm12750"
"650","Gastric mucous cells-19","Plac8l1, Gm27022, Esp38, Gm5561, A4gnt, Gm16596, Aunip, Gm16206, Nxnl2, Mogat1"
