"","Label","Markers"
"186","Renal Pericyte And Mesangial","Foxp2, Ebf1, Ebf2, Prrx1, Prrx2, Pdgfrb, Pga5, Tpk1, Hdlbp, Numb, Hsp90b1, Rps6ka5, Pabpc1, Sub1, Ipo8, Tet1, Tbca, Pkig, Tmem9, Calr"
"187","Renal Stromal","Foxd1, Tcf21, Cfh, Gdnf, Cldn11, Irag1, Hoxa10, Lrriq1, Penk, Alx1"
"188","Retinal Ganglion","Pou4f2, Rbpms2, Isl1, Chrnb3, Rph3a, Pou6f2, Pax6, Klhl1, Mast1, Six3"
"189","Retinal Pigment","Otx2, Oca2, Slc24a5, Tspan10, Slc38a8, Tyrp1, Tyr, Gm45895, Slc45a2, Dct"
"190","Retinal Progenitor","Neurog2, Atoh7, Otx2, Foxn4, Vsx2, Rax, Rorb, Gm29266, Mir217hg, Mybl1"
"191","Rod Precursor","Nrl, Pias3, Prph2, Pdc, Samd7, Crx, Pde6b, Nr2e3, Crxos, Rax"
"192","Satellite Glial","Fabp7, Apoe, Gja1, Glul, Sfrp5, Col28a1, Mpz, Entpd2, Cmtm5, Cdh19"
"193","Sclerotome","Pax1, Pax9, Sox9, Ddr2, Pdgfra, Prrx1, Col3a1, Col23a1, Mrc2, Itga8"
"194","Second Heart Field","Isl1, Tbx1, Tdgf1, Mybpc3, Nkx2-5, Myl7, Myh6, 5430431A17Rik, Ankrd1, Cnn1"
"195","Sertoli","Wt1, Sox9, Gm2044, Serpina3a, Cst9, Amh, Hsd17b3, Dmrt1, Akr1cl, Nr5a1"
"196","Somatic Mesoderm","Lhx1, Prrx1, Msx1, Alx1, Prdm6, Gata6, Crispld1, Lix1, Svep1, Hs3st3a1"
"197","Spinal Cord Dorsal Progenitor (After E13.0)","Pax3, Pax7, Hoxb4, Hoxd4, Neurod1, Prdm13, Nphs1, Nhlh2, Scrt2, Mir9-3hg"
"198","Spinal Cord Motor Neuron","Mnx1, Lhx3, Chat, Lhx4, Slc10a4, Slc5a7, D930028M14Rik, Glra1, Nyap2, Nefl"
"199","Spinal Cord Ventral Progenitor (After E13.0)","Nkx6-1, Hoxb4, Hoxd4, Neurod1, Gm44948, St18, Lhx4, Hoxc12, Gm3764, Akap6"
"200","Spinal Cord/R7/R8","Hoxb4, Hoxd4, Hoxc6, Scube2, Glra1, Rfx4, Pax6, Sall3, Pax3, Pou3f2"
"201","Spinal dI1 Interneuron","Barhl1, Glra1, Lhx9, Dll3, Robo3, Lhx2, Grem2, Gsg1l, Myt1, Mir124a-1hg"
"202","Spinal dI2 Interneuron","Foxd3, Pou4f1, Glra1, Lhx5, Robo3, Scrt2, Gm6999, Lhx1, Nhlh2, Lhx1os"
"203","Spinal dI3 Interneuron","Pou4f1, Otp, Gm2824, Isl1, Myt1, Tmem163, Slc1a2, Mir124-2hg, Gm49318, Lin7a"
"204","Spinal dI4 Interneuron","Pax2, Lbx1, Lhx1, Prdm13, Skor1, Kirrel2, Slc6a5, Lamp5, Glra1, Gbx2"
"205","Spinal dI5 Interneuron","Lbx1, Tlx1, Tlx3, Phox2b, Dll3, Glra1, Lmx1b, Chrna3, Prmt8, Tfap2b"
"206","Spinal dI6 Interneuron","Wt1, Dmrt3, Bhlhe22, Slc6a5, Lamp5, Lhx5, Lhx1os, Pax8, Pax5, Robo3"
"207","Spinal V0 Interneuron","Otp, Mir217hg, D930028M14Rik, Evx1, Evx2, Onecut1, Robo3, Lhx5, Svop, Onecut2"
"208","Spinal V1 Interneuron","En1, Foxd3, Glra1, Lhx1os, Lhx5, Nhlh1, Nhlh2, Lhx1, Neurog1, Prmt8"
"209","Spinal V2a Interneuron","Sox14, Lhx3, Vsx2, Lhx4, Glra1, Onecut1, Mir124a-1hg, Myt1, Onecut2, Gm30373"
"210","Spinal V2b Interneuron","Gata3, Gata2, 9230102O04Rik, Slc6a5, Slc30a3, Asic4, Lamp5, Lhx1os, Gad1, Lhx5"
"211","Spinal V3 Interneuron","Sim1, Uncx, Galnt9, Nkx2-2, Ppp1r17, Glra1, Nhlh2, Crb1, Srrm3, Clvs1"
"212","Splanchnic Mesoderm","Tcf21, Isl1, Aldh1a2, Gata4, Svep1, Pdgfra, Itga8, Gata6, Nr2f2, Bnc2"
"213","Striatal Projection Neuron","Otx2, Slc17a6, Ddr2, Ppp1r17, Prrxl1, Pou4f1, Srrm3, Crabp1, Gm28526, Tfap2b"
"214","Subplate Neuron","Kcnab1, Chrna5, Syt6, Foxp2, Tbr1, 6530403H02Rik, Hs3st2, Neurod2, 3110039M20Rik, B3gat1"
"215","Suprachiasmatic Nucleus","Lhx1, Gm5089, Gm29478, Lsamp, Msi2, Rfx4, Grid2, Mapk10, Cfap54, Kcnn3"
"216","Sympathetic Neuron","Ascl1, Slc18a2, Dbh, Slc6a2, Phox2a, Th, Slc26a4, Cacng3, Phox2b, Hand2"
"217","T","Cd4, Cd8a, Klrb1b, Cd3e, Scart1, Adgrg5, Itk, Il23r, Lta, Cd96"
"218","T-NK Progenitor","Il7r, Cd27, Vmn2r26, Tespa1, Clnk, Il2ra, BC035044, Runx3, Vav1, Ubash3a"
"219","Telencephalon","Emx1, Emx2, Pax8, Nr2e1, 3110039M20Rik, Gm3764, Ostm1, Mir9-3hg, Gm29260, Pantr1"
"220","Thalamic Neuronal Precursor","Gbx2, Tcf7l2, Ntng1, Lhx9, Chst1, Slc17a6, Tmem130, Gabrg2, Kcnj6, Syt13"
"221","Thymic Epithelial","H2-Aa, Slc46a2, Prss16, Skint1, Skint10, H2-Eb1, Foxn1, Skint4, Il7, S100a3"
"222","Thyroid Gland","Hhex, Nkx2-1, Tpo, Foxe1, Iyd, Tg, 4933406B17Rik, 4930502A04Rik, Kcnh3, Pax8"
"223","Tooth Junctional Epithelium","Odam, Bpifb9a, Gm6619, Apol10a, Bpifb9b, 5430401F13Rik, Olfm5, Bpifb5, Gm28434, Ubqlnl"
"224","Upper-Layer Neuron","Satb2, Pou3f2, Pou3f3, Neurod6, Neurod2, 3110039M20Rik, Foxg1, Gm28175, Gm29260, Mpped1"
"225","Ureteric Bud","Ret, Wnt11, Ros1, Wnt9b, Calb1, Pax2, Sim1, Cdh16, Pkhd1, Gata3"
"226","Ureteric Bud Stalk","Wnt7b, Gsdmc3, Cdh16, 9230102O04Rik, Gsdmc4, Gm13652, Kcnj16, Tacstd2, Cldn7, Tinag"
"227","Vascular Smooth Muscle","Acta2, Mylk, Or51e2, Actg2, Map3k7cl, Heyl, Lmod1, Myh11, Aoc3, Tagln"
"228","Vascular Smooth Muscle (Pparg+)","Pparg, Mylk, Nostrin, Gm6249, Kcnj8, Tmc5, Rgs5, Itga7, Aoc3, Rasl12"
"229","Venous and Capillary Endothelial","Ephb4, Flt4, Nrp2, Gpihbp1, Btnl9, Ccm2l, Robo4, Lhx6, Ushbp1, Fabp4"
"230","Ventricular Cardiomyocyte","Myh7, Fhl2, Fsd2, Mybpc3, Hspb7, Lmod2, Mb, Myl2, Tnni3k, Pln"
